subject,predicate,object
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://lexvo.org/ontology#acronymFor,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://www.w3.org/2008/05/skos-xl#Label,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#date
http://www.w3.org/2008/05/skos-xl#Label,http://purl.org/dc/terms/modified,http://www.w3.org/2001/XMLSchema#date
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#Country
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#Thesaurus
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#MicroThesaurus
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#notation,http://eurovoc.europa.eu
http://eurovoc.europa.eu/schema#Country,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#date
http://eurovoc.europa.eu/schema#Country,http://publications.europa.eu/ontology/euvoc#status,
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#broader,http://www.w3.org/2004/02/skos/core#Concept
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#broader,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2008/05/skos-xl#altLabel,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2008/05/skos-xl#altLabel,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#related,http://www.w3.org/2004/02/skos/core#Concept
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#related,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://www.w3.org/2004/02/skos/core#Concept,http://eurovoc.europa.eu/schema#isoCountryCode,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#Country,http://eurovoc.europa.eu/schema#isoCountryCode,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://eurovoc.europa.eu/schema#isoCountryCode,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#Country,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#Country,http://purl.org/dc/elements/1.1/identifier,http://eurovoc.europa.eu
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#scopeNote,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#date
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://purl.org/dc/terms/modified,http://www.w3.org/2001/XMLSchema#date
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#historyNote,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/isReplacedBy,http://eurovoc.europa.eu/schema#Country
