s,p,o,count
http://eurovoc.europa.eu/schema#CompoundEquivalence,http://eurovoc.europa.eu/schema#preferredTermComponent,http://eurovoc.europa.eu/schema#PreferredTerm,88
http://eurovoc.europa.eu/schema#MicroThesaurus,http://purl.org/dc/elements/1.1/identifier,http://www.w3.org/2001/XMLSchema#string,127
http://eurovoc.europa.eu/schema#CompoundNonPreferredTerm,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#CompoundNonPreferredTerm,88
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#broaderTransitive,http://www.w3.org/2004/02/skos/core#Concept,798
http://www.w3.org/2008/05/skos-xl#Label,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#dateTime,18
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#MicroThesaurus,568
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label,5760
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2008/05/skos-xl#prefLabel,http://eurovoc.europa.eu/schema#PreferredTerm,5760
http://eurovoc.europa.eu/schema#EquivalenceRelationship,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#EquivalenceRelationship,76012
http://eurovoc.europa.eu/schema#Export,http://eurovoc.europa.eu/schema#exportedThesaurus,http://eurovoc.europa.eu/schema#Thesaurus,1
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#related,http://eurovoc.europa.eu/schema#ThesaurusConcept,4845
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#dateTime,204
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#translationOf,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,143
http://eurovoc.europa.eu/schema#Export,http://eurovoc.europa.eu/schema#exportDate,http://www.w3.org/2001/XMLSchema#dateTime,1
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/2001/XMLSchema#string,240
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,164285
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#historyNote,,1158
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#acronym,http://www.w3.org/2008/05/skos-xl#Label,3375
