s,p,o,count
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/terms/replaces,http://www.w3.org/2004/02/skos/core#Concept,92
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#broader,http://eurovoc.europa.eu/schema#ThesaurusConcept,857
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#broader,http://eurovoc.europa.eu/schema#Country,21
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string,130
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#topConceptOf,http://eurovoc.europa.eu/schema#Thesaurus,538
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://publications.europa.eu/ontology/euvoc#DomainEurovoc,84
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/isReplacedBy,http://eurovoc.europa.eu/schema#ThesaurusConcept,91
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#altLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,193877
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/terms/isReplacedBy,http://eurovoc.europa.eu/schema#Country,14
http://eurovoc.europa.eu/schema#MicroThesaurus,http://eurovoc.europa.eu/schema#domain,http://eurovoc.europa.eu/schema#Domain,127
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://lexvo.org/ontology#shortFormFor,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,56
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://eurovoc.europa.eu/schema#domain,http://eurovoc.europa.eu/schema#Domain,127
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,3460
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,191819
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#related,http://www.w3.org/2004/02/skos/core#Concept,10094
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/elements/1.1/identifier,http://eurovoc.europa.eu,7104
http://www.w3.org/2008/05/skos-xl#Label,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#date,15556
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://eurovoc.europa.eu/schema#domain,http://www.w3.org/2004/02/skos/core#Concept,127
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/terms/isReplacedBy,http://www.w3.org/2004/02/skos/core#Concept,91
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#Thesaurus,7083
http://eurovoc.europa.eu/schema#Country,http://purl.org/dc/elements/1.1/identifier,http://eurovoc.europa.eu,240
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label,567
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#historyNote,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,2289
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#topConceptOf,http://eurovoc.europa.eu/schema#Thesaurus,538
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://rdfs.org/ns/void#usedBy,,128
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://lexvo.org/ontology#longFormFor,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,56
http://eurovoc.europa.eu/schema#MicroThesaurus,http://art.uniroma2.it/ontologies/vocbench#hasStatus,http://www.w3.org/2001/XMLSchema#string,1
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://publications.europa.eu/ontology/euvoc#status,,183136
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#notation,http://eurovoc.europa.eu,7104
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#scopeNote,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,17313
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#MicroThesaurus,7424
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,6480
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#topConceptOf,http://www.w3.org/2004/02/skos/core#ConceptScheme,1098
http://eurovoc.europa.eu/schema#Thesaurus,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#Thesaurus,2
http://www.w3.org/2004/02/skos/core#Concept,http://eurovoc.europa.eu/schema#isoCountryCode,http://www.w3.org/2001/XMLSchema#string,240
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#related,http://eurovoc.europa.eu/schema#ThesaurusConcept,10094
http://eurovoc.europa.eu/schema#Domain,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,567
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/isReplacedBy,http://www.w3.org/2004/02/skos/core#Concept,91
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://eurovoc.europa.eu/schema#toBeTranslated,http://www.w3.org/2001/XMLSchema#string,6697
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://www.w3.org/2004/02/skos/core#Concept,560
http://www.w3.org/2008/05/skos-xl#Label,http://lexvo.org/ontology#acronymFor,http://www.w3.org/2008/05/skos-xl#Label,3607
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2008/05/skos-xl#altLabel,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,193877
http://eurovoc.europa.eu/schema#Domain,http://purl.org/dc/elements/1.1/identifier,http://eurovoc.europa.eu,21
http://eurovoc.europa.eu/schema#MicroThesaurus,http://purl.org/dc/terms/identifier,http://www.w3.org/2001/XMLSchema#string,129
http://eurovoc.europa.eu/schema#Country,http://purl.org/dc/terms/replaces,http://www.w3.org/2004/02/skos/core#Concept,14
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#broader,http://www.w3.org/2004/02/skos/core#Concept,7162
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#broader,http://www.w3.org/2004/02/skos/core#Concept,7162
http://eurovoc.europa.eu/schema#Thesaurus,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label,27
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://eurovoc.europa.eu/schema#hasPolyHierarchy,http://www.w3.org/2001/XMLSchema#boolean,21
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#broader,http://www.w3.org/2004/02/skos/core#Concept,857
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label,3431
http://eurovoc.europa.eu/schema#Language,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#Language,24
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2008/05/skos-xl#altLabel,http://www.w3.org/2008/05/skos-xl#Label,29
http://www.w3.org/2004/02/skos/core#Concept,http://eurovoc.europa.eu/schema#hasPolyHierarchy,http://www.w3.org/2001/XMLSchema#boolean,21
http://eurovoc.europa.eu/schema#Country,http://eurovoc.europa.eu/schema#isoCountryCode,http://www.w3.org/2001/XMLSchema#string,240
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://eurovoc.europa.eu/schema#ThesaurusConcept,560
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#MicroThesaurus,21
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://lexvo.org/ontology#shortFormFor,http://www.w3.org/2008/05/skos-xl#Label,116
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#related,http://www.w3.org/2004/02/skos/core#Concept,10094
http://eurovoc.europa.eu/schema#MicroThesaurus,http://publications.europa.eu/ontology/euvoc#domain,http://eurovoc.europa.eu/schema#ThesaurusConcept,127
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2002/07/owl#versionInfo,http://www.w3.org/2001/XMLSchema#string,129
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#scopeNote,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,104
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://purl.org/dc/terms/hasPart,http://www.w3.org/2004/02/skos/core#ConceptScheme,127
http://eurovoc.europa.eu/schema#MicroThesaurus,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string,129
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://lexvo.org/ontology#longFormFor,http://www.w3.org/2008/05/skos-xl#Label,98
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#status,,7104
http://publications.europa.eu/ontology/euvoc#DomainEurovoc,http://publications.europa.eu/ontology/euvoc#status,,21
http://www.w3.org/2008/05/skos-xl#Label,http://lexvo.org/ontology#longFormFor,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,116
http://eurovoc.europa.eu/schema#Thesaurus,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://www.w3.org/2004/02/skos/core#Concept,538
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://eurovoc.europa.eu/schema#domain,http://publications.europa.eu/ontology/euvoc#DomainEurovoc,127
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#topConceptOf,http://www.w3.org/2004/02/skos/core#ConceptScheme,1098
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#topConceptOf,http://eurovoc.europa.eu/schema#MicroThesaurus,560
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/terms/replaces,http://eurovoc.europa.eu/schema#ThesaurusConcept,92
http://eurovoc.europa.eu/schema#Thesaurus,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string,1
http://eurovoc.europa.eu/schema#Thesaurus,http://purl.org/dc/elements/1.1/identifier,http://www.w3.org/2001/XMLSchema#string,1
