subject,predicate,object
http://eurovoc.europa.eu/schema#MicroThesaurus,http://eurovoc.europa.eu/schema#toBeTranslated,http://www.w3.org/2001/XMLSchema#string
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://eurovoc.europa.eu/schema#toBeTranslated,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://eurovoc.europa.eu/schema#MicroThesaurus,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://www.w3.org/2004/02/skos/core#Concept
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://www.w3.org/2004/02/skos/core#Concept
http://eurovoc.europa.eu/schema#MicroThesaurus,http://eurovoc.europa.eu/schema#domain,http://eurovoc.europa.eu/schema#Domain
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://eurovoc.europa.eu/schema#domain,http://eurovoc.europa.eu/schema#Domain
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://www.w3.org/2004/02/skos/core#definition,
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#definition,
http://eurovoc.europa.eu/schema#PreferredTerm,http://eurovoc.europa.eu/schema#toBeTranslated,http://www.w3.org/2001/XMLSchema#string
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#toBeTranslated,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#dateTime
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/created,http://www.w3.org/2001/XMLSchema#dateTime
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://purl.org/dc/terms/modified,http://www.w3.org/2001/XMLSchema#dateTime
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/modified,http://www.w3.org/2001/XMLSchema#dateTime
http://eurovoc.europa.eu/schema#ThesaurusConcept,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string
http://www.w3.org/2004/02/skos/core#Concept,http://eurovoc.europa.eu/schema#approvedForRelease,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#acronym,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#acronym,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://www.w3.org/2008/05/skos-xl#labelRelation,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://eurovoc.europa.eu/schema#fullName,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#fullName,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm,http://www.w3.org/2004/02/skos/core#scopeNote,
http://www.w3.org/2008/05/skos-xl#Label,http://www.w3.org/2004/02/skos/core#scopeNote,
http://eurovoc.europa.eu/schema#PreferredTerm,http://eurovoc.europa.eu/schema#translationOf,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://eurovoc.europa.eu/schema#PreferredTerm,http://eurovoc.europa.eu/schema#translationOf,http://www.w3.org/2008/05/skos-xl#Label
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#translationOf,http://eurovoc.europa.eu/schema#SimpleNonPreferredTerm
http://www.w3.org/2008/05/skos-xl#Label,http://eurovoc.europa.eu/schema#translationOf,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://eurovoc.europa.eu/schema#Country
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2008/05/skos-xl#prefLabel,http://eurovoc.europa.eu/schema#PreferredTerm
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2008/05/skos-xl#prefLabel,http://www.w3.org/2008/05/skos-xl#Label
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#broader,http://eurovoc.europa.eu/schema#ThesaurusConcept
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#broader,http://www.w3.org/2004/02/skos/core#Concept
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#ConceptScheme
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#MicroThesaurus
http://eurovoc.europa.eu/schema#Country,http://www.w3.org/2004/02/skos/core#inScheme,http://eurovoc.europa.eu/schema#Thesaurus
http://eurovoc.europa.eu/schema#Country,http://purl.org/dc/elements/1.1/identifier,http://www.w3.org/2001/XMLSchema#string
http://eurovoc.europa.eu/schema#Country,http://eurovoc.europa.eu/schema#isoCountryCode,http://www.w3.org/2001/XMLSchema#string
http://www.w3.org/2004/02/skos/core#Concept,http://eurovoc.europa.eu/schema#isoCountryCode,http://www.w3.org/2001/XMLSchema#string
