"stype","p","ootype","propType","scnt","ocnt","cnt","min_sp","max_sp","avg_sp"
"https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",6162,1,6162,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","https://webgate.acceptance.ec.testa.eu/euodp/bud#currency",,"data",6162,1,6162,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","https://webgate.acceptance.ec.testa.eu/euodp/bud#value","http://www.w3.org/2001/XMLSchema#double","data",4101,3062,4101,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","https://webgate.acceptance.ec.testa.eu/euodp/bud#value","http://www.w3.org/2001/XMLSchema#string","data",2061,4,2061,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","object",1305,1,1305,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#aele","http://www.w3.org/2001/XMLSchema#string","data",369,1,369,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#delegation","http://www.w3.org/2001/XMLSchema#string","data",48,1,48,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#figure","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",1305,1305,1305,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasPoliticalCategory",,"data",1299,50,1299,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#peco","http://www.w3.org/2001/XMLSchema#string","data",384,1,384,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#reserve","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",3,3,3,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#status",,"data",1305,3,1305,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#NonDifferenciated","https://webgate.acceptance.ec.testa.eu/euodp/bud#year","http://www.w3.org/2001/XMLSchema#string","data",1305,3,1305,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","object",2420,1,2420,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#aele","http://www.w3.org/2001/XMLSchema#string","data",450,1,450,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#figure","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",2420,2420,2420,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasPoliticalCategory",,"data",2357,78,2357,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#peco","http://www.w3.org/2001/XMLSchema#string","data",403,1,403,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#reserve","https://webgate.acceptance.ec.testa.eu/euodp/bud#MonetaryValue","object",7,7,7,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#status",,"data",2420,3,2420,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Payment","https://webgate.acceptance.ec.testa.eu/euodp/bud#year","http://www.w3.org/2001/XMLSchema#string","data",2420,3,2420,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","object",24,1,24,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","https://webgate.acceptance.ec.testa.eu/euodp/bud#alias","http://www.w3.org/2001/XMLSchema#string","data",24,24,24,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#SubItem","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading",,"data",24,508,552,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","object",36,1,36,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","https://webgate.acceptance.ec.testa.eu/euodp/bud#alias","http://www.w3.org/2001/XMLSchema#string","data",36,36,36,1,1,1
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","https://webgate.acceptance.ec.testa.eu/euodp/bud#hasChapter","https://webgate.acceptance.ec.testa.eu/euodp/bud#Chapter","object",36,129,129,1,9,4.798449612403101
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","https://webgate.acceptance.ec.testa.eu/euodp/bud#heading",,"data",36,828,828,23,23,23
"https://webgate.acceptance.ec.testa.eu/euodp/bud#Title","https://webgate.acceptance.ec.testa.eu/euodp/bud#remark",,"data"
